"","WaterYear","Station","Designation","TotalTests","TotalVars","Failedtests","SumExcursions","FailedVars","F1","F2","NSE","F3","WQI"
"1",2014,"ANACHANT@BRB","Targeted",63,32,14,143.644003803371,11,34.375,22.2222222222222,2.28006355243446,69.5127858343537,53.4243376307763
"2",2015,"ANACHANT@BRB","Targeted",93,31,6,2.04068675412974,2,6.45161290322581,6.45161290322581,0.0219428683239757,2.14717172594617,94.5882190514737
"3",2014,"ANACIT@B01","Eliminated",93,31,7,1.80118196556231,3,9.67741935483871,7.52688172043011,0.019367548016799,1.89995728768088,92.837010359266
"4",2006,"ANACIT@B01","Eliminated",62,31,5,1.37145016342787,3,9.67741935483871,8.06451612903226,0.0221201639262559,2.16414514720912,92.6202535034757
"5",2007,"ANACIT@B01","Eliminated",155,31,20,22.7841875013103,11,35.4838709677419,12.9032258064516,0.14699475807297,12.8156434053745,76.9787610600471
"6",2008,"ANACIT@B01","Eliminated",155,31,15,28.1781390491509,6,19.3548387096774,9.67741935483871,0.181794445478393,15.3829158847334,84.6709678028046
"7",2009,"ANACIT@B01","Eliminated",155,31,15,6.27857118320305,7,22.5806451612903,9.67741935483871,0.0405069108593745,3.89299777220308,85.6388288345084
"8",2010,"ANACIT@B01","Eliminated",155,31,12,2.55078416628559,4,12.9032258064516,7.74193548387097,0.0164566720405522,1.61902346585174,91.2618560945006
"9",2011,"ANACIT@B01","Eliminated",156,32,13,5.66533140091827,5,15.625,8.33333333333333,0.0363162269289633,3.50435764540554,89.5775129244337
"10",2012,"ANACIT@B01","Eliminated",153,31,11,3.60266293389325,3,9.67741935483871,7.18954248366013,0.0235468165613938,2.3005119238707,92.9137889922835
"11",2013,"ANACIT@B01","Eliminated",155,31,11,2.63123602888138,3,9.67741935483871,7.09677419354839,0.0169757163153638,1.66923516884641,93.0044869542393
"12",2012,"ANAE02@LAPAL","Eliminated",153,31,8,1.22564472471986,2,6.45161290322581,5.22875816993464,0.00801074983477035,0.794708770326451,95.1834014001633
"13",2014,"ANAE02@LAPAL","Eliminated",93,31,7,0.992635628465254,3,9.67741935483871,7.52688172043011,0.0106735013813468,1.05607808721201,92.8952931410151
"14",2010,"ANAE02@LAPAL","Eliminated",61,31,8,47.9121532330375,5,16.1290322580645,13.1147540983607,0.785445134967827,43.9915581601997,71.9076609399239
"15",2011,"ANAE02@LAPAL","Eliminated",156,32,10,2.49907513872919,3,9.375,6.41025641025641,0.0160197124277512,1.57671275781378,93.3799358359151
"16",2013,"ANAE02@LAPAL","Eliminated",155,31,11,1.52978291351535,3,9.67741935483871,7.09677419354839,0.00986956718397002,0.977311081023205,93.0482546128529
"17",2012,"ANAE12@ E01","Targeted",164,31,21,10.4827085898604,9,29.0322580645161,12.8048780487805,0.0639189548162218,6.00787818723119,81.3542435624399
"18",2014,"ANAE12@ E01","Targeted",155,31,13,11.7055154111184,5,16.1290322580645,8.38709677419355,0.0755194542652801,7.02167254769647,88.7481076888873
"19",2015,"ANAE12@ E01","Targeted",93,31,8,3.01803045782449,4,12.9032258064516,8.60215053763441,0.0324519404067149,3.14319138127932,90.8642721258432
"20",2006,"ANAE12@ E01","Targeted",61,31,13,36.0517625082244,7,22.5806451612903,21.3114754098361,0.591012500134827,37.146942596915,72.0470789557242
"21",2007,"ANAE12@ E01","Targeted",155,31,24,39.5463906849264,8,25.8064516129032,15.4838709677419,0.25513800441888,20.3274861824463,79.0317121883796
"22",2008,"ANAE12@ E01","Targeted",155,31,24,29.8041904213462,11,35.4838709677419,15.4838709677419,0.192285099492556,16.1274429726912,75.7853145549173
"23",2009,"ANAE12@ E01","Targeted",155,31,17,9.83557253822518,9,29.0322580645161,10.9677419354839,0.063455306698227,5.96689924800323,81.7533029846733
"24",2010,"ANAE12@ E01","Targeted",155,31,15,4.97184881291674,7,22.5806451612903,9.67741935483871,0.0320764439543015,3.1079523364959,85.7027587118991
"25",2011,"ANAE12@ E01","Targeted",156,32,12,10.9254601227805,4,12.5,7.69230769230769,0.0700350007870546,6.545113079062,90.7214359049269
"26",2013,"ANAE12@ E01","Targeted",155,31,11,3.13471101027967,3,9.67741935483871,7.09677419354839,0.0202239420018044,1.98230419510863,92.9773020553832
"27",2012,"ANAHGC03","Random",123,31,10,2.21522214371743,4,12.9032258064516,8.13008130081301,0.018009936127784,1.76913166449913,91.1355557645569
"28",2014,"ANAHGC03","Random",100,31,10,5.31976122457337,6,19.3548387096774,10,0.0531976122457337,5.05105705018647,87.0880894639846
"29",2015,"ANAHGC03","Random",62,31,6,0.935936112222363,3,9.67741935483871,9.67741935483871,0.015095743745522,1.48712511490014,92.051676260665
"30",2006,"ANAHGC03","Random",62,31,6,2.66128050717204,3,9.67741935483871,9.67741935483871,0.0429238791479362,4.11572503095862,91.7486149386537
"31",2007,"ANAHGC03","Random",155,31,20,8.90350592881866,8,25.8064516129032,12.9032258064516,0.057441973734314,5.43216319770814,83.0488432035837
"32",2008,"ANAHGC03","Random",155,31,22,12.1148756332136,8,25.8064516129032,14.1935483870968,0.0781604879562169,7.24942982323341,82.487737924635
"33",2009,"ANAHGC03","Random",153,31,16,15.8945957413912,7,22.5806451612903,10.4575163398693,0.103886246675759,9.41095579264639,84.6393055691465
"34",2010,"ANAHGC03","Random",124,31,14,3.15272882263849,7,22.5806451612903,11.2903225806452,0.025425232440633,2.47948184190065,85.3536977980442
"35",2011,"ANAHGC03","Random",93,31,7,0.928237272155816,3,9.67741935483871,7.52688172043011,0.00998104593715931,0.98824091573896,92.8985473387211
"36",2013,"ANAHGC03","Random",62,31,4,0.917136239087946,2,6.45161290322581,6.45161290322581,0.0147925199852895,1.45768910333552,94.6653183668291
"37",2014,"ANAWASD@CRB","Targeted",62,31,6,1.80262774522719,4,12.9032258064516,9.67741935483871,0.0290746410520515,2.82531897028652,90.5458326654181
"38",2015,"ANAWASD@CRB","Targeted",31,31,3,27.6860415002177,3,9.67741935483871,9.67741935483871,0.893098112910249,47.1765360083368,71.6388058116034
"39",2006,"BPARA01","Eliminated",62,31,6,2.06527965860066,4,12.9032258064516,9.67741935483871,0.0333109622354945,3.22371129823578,90.5034415249579
"40",2007,"BPARA01","Eliminated",62,31,5,2.42774843170625,3,9.67741935483871,8.06451612903226,0.0391572327694557,3.7681720854791,92.4083789612589
"41",2008,"BPARA01","Eliminated",31,31,3,2.26134651230887,3,9.67741935483871,9.67741935483871,0.0729466616873828,6.79872208863229,91.1769012650162
"42",2010,"BPARA01","Eliminated",31,31,7,4.24415694644584,7,22.5806451612903,22.5806451612903,0.136908288595027,12.0421576628855,80.2950685443215
"43",2006,"BPDSA01","Eliminated",31,31,3,0.27575503020902,3,9.67741935483871,9.67741935483871,0.00889532355512969,0.881689442645495,92.0818078279798
"44",2007,"BPDSA01","Eliminated",124,31,28,19.6808202777538,15,48.3870967741936,22.5806451612903,0.158716292562531,13.6975973826626,68.1723436188908
"45",2008,"BPDSA01","Eliminated",31,31,11,153.129690789399,11,35.4838709677419,35.4838709677419,4.93966744481932,83.1640405916628,43.9196369290879
"46",2009,"BPDSA01","Eliminated",62,31,22,29.6208830357706,15,48.3870967741936,35.4838709677419,0.477756177996299,32.329837973954,60.647290578654
"47",2010,"BPDSA01","Eliminated",31,31,8,30.0097567036286,8,25.8064516129032,25.8064516129032,0.968056667858988,49.1884549702585,64.6367889370983
"48",2014,"BRRC@I-90","Targeted",155,31,20,16.9690811022652,8,25.8064516129032,12.9032258064516,0.109477942595259,9.86751862224243,82.3942371339226
"49",2015,"BRRC@I-90","Targeted",92,31,10,12.9810796016113,6,19.3548387096774,10.8695652173913,0.141098691321862,12.3651610850952,85.3292545205417
"50",2006,"BRRC@I-90","Targeted",87,31,12,5.40834021819001,9,29.0322580645161,13.7931034482759,0.062164830094138,5.8526537814878,81.1370036812072
"51",2007,"BRRC@I-90","Targeted",124,31,18,18.8990585000389,8,25.8064516129032,14.5161290322581,0.152411762097088,13.2254604742786,81.2768819424279
"52",2008,"BRRC@I-90","Targeted",153,31,35,52.4450792627587,16,51.6129032258064,22.8758169934641,0.342778295835024,25.5275421786486,64.2272197615959
"53",2009,"BRRC@I-90","Targeted",155,31,22,16.1445454182574,10,32.258064516129,14.1935483870968,0.104158357537145,9.43328072700302,78.9357774185921
"54",2010,"BRRC@I-90","Targeted",146,31,12,2.42362282127616,4,12.9032258064516,8.21917808219178,0.0166001563101107,1.63290908496052,91.1168998522435
"55",2011,"BRRC@I-90","Targeted",155,31,17,54.8878953252785,8,25.8064516129032,10.9677419354839,0.354115453711475,26.1510532754711,77.8623386599989
"56",2012,"BRRC@I-90","Targeted",165,31,17,2.82651049015553,6,19.3548387096774,10.3030303030303,0.0171303666070032,1.68418593814553,87.303188458447
"57",2013,"BRRC@I-90","Targeted",155,31,27,303.046010949156,11,35.4838709677419,17.4193548387097,1.95513555451068,66.1606047657065,55.5023853393866
"58",2012,"CM15NB","Eliminated",164,31,17,11.5593915554192,6,19.3548387096774,10.3658536585366,0.0704840948501171,6.5843196726791,86.7656407384099
"59",2006,"CM15NB","Eliminated",93,31,13,9.12984673965871,7,22.5806451612903,13.9784946236559,0.0981703950500937,8.93945015205182,83.8213753726901
"60",2007,"CM15NB","Eliminated",93,31,7,1.27457724198513,4,12.9032258064516,7.52688172043011,0.0137051316342487,1.35198404413263,91.3399721938172
"61",2008,"CM15NB","Eliminated",155,31,22,15.0100583047917,11,35.4838709677419,14.1935483870968,0.096839085837366,8.8289236851398,77.3534250362579
"62",2009,"CM15NB","Eliminated",155,31,30,37.5824326770087,13,41.9354838709677,19.3548387096774,0.242467307593604,19.5149849104048,71.05075289758
"63",2010,"CM15NB","Eliminated",155,31,23,6.56342996690746,9,29.0322580645161,14.8387096774194,0.0423447094639191,4.0624477756209,81.029618408235
"64",2011,"CM15NB","Eliminated",156,32,20,5.32162158003179,9,28.125,12.8205128205128,0.0341129588463576,3.2987652417018,82.0526722800903
"65",2013,"CM15NB","Eliminated",93,31,7,1.51033121501581,3,9.67741935483871,7.52688172043011,0.0162401205915678,1.59805938207933,92.8616258640309
"66",2014,"CMFWD03INLET","Targeted",124,31,8,1.54845973063685,2,6.45161290322581,6.45161290322581,0.0124875784728778,1.23335621477082,94.6842134795232
"67",2015,"CMFWD03INLET","Targeted",93,31,10,1.76770058572265,5,16.1290322580645,10.752688172043,0.0190075331798134,1.86529859308306,88.7562228512455
"68",2013,"CMFWD03INLET","Targeted",42,31,4,0.701532865308299,2,6.45161290322581,9.52380952380952,0.0167031634597214,1.64287513406396,93.2909708215032
"69",2014,"CMFWPONDC","Targeted",186,31,15,3.43783841158715,4,12.9032258064516,8.06451612903226,0.0184830022128341,1.81475804433422,91.1524621040974
"70",2015,"CMFWPONDC","Targeted",93,31,8,2.13998290460188,3,9.67741935483871,8.60215053763441,0.0230105688666869,2.24929923179372,92.4123143818655
"71",2013,"CMFWPONDC","Targeted",42,31,4,0.85838076669452,2,6.45161290322581,9.52380952380952,0.0204376373022505,2.00283060474737,93.2584476003607
"72",2014,"CMFWPONDE","Targeted",186,31,16,18.2805791862696,5,16.1290322580645,8.60215053763441,0.0982826837971485,8.94876020965302,88.249151984485
