"","ProjectProgramCode","StationCode","StationDescription","StationID","Latitude","Longitude"
"1",1,"REF-SNC","Reference: Santiago Canyon Crk East of Irvine Lake",2165,"33.773409999999998","-117.68384"
"2",1,"REF-MC","Reference: Modjeska Canyon Crk in Tucker Wildlife Sanctuary",2166,"33.708820000000003","-117.61481999999999"
"3",1,"REF-SVC","Reference: Silverado Canyon Crk north of Oak Lane",2167,"33.745829999999998","-117.60147000000001"
"4",1,"UBPF19","Serrano Creek u/s Toledo and Bake Parkway",2168,"33.649299999999997","-117.69799999999999"
"5",1,"LCRF05","San Diego Crk u/s SR-133 at Alton Pkwy and Pacifica",2169,"33.655239999999999","-117.76026"
"6",1,"TWF05","San Diego Crk d/s Michelson Dr. adjacent to  IRWD",2170,"33.667169999999999","-117.83634000000001"
"7",1,"UHAF05","San Diego Crk u/s Harvard Ave.",2171,"33.696689999999997","-117.81708"
"8",1,"BPF06","Peter's Canyon Wash at Barranca Pkwy",2172,"33.691609999999997","-117.82323"
"9",1,"BCF04","Bonita Canyon Crk at University Ave",2173,"33.639719999999997","-117.85805999999999"
"10",1,"BCWG04","Big Canyon Wash d/s Jamboree Pkwy",2174,"33.630969999999998","-117.88077"
"11",1,"BGH01","Buck Gulley Wash u/s R.E. Badhan Marine Life Refuge",2175,"33.589959999999998","-117.86834"
"12",1,"VICE08","Santiago Canyon Crk at Memory Ln and Parker St",2176,"33.773969999999998","-117.86024999999999"
"13",1,"SCIL1E08","Santiago Creek d/s Irvine Lake",2177,"33.775129999999997","-117.69556"
"14",1,"SCIL2E08","Santiago Creek u/s Irvine Lake",2178,"33.74765","-117.67578"
"15",1,"SGLR-039","San Gabriel River-DO NOT USE",2179,NA,NA
"16",1,"REF-MCd","Santiago Creek Modjeska Canyon @ Highway",2180,NA,NA
"17",1,"REF-SVCd","Silverado Creek @ Highway",2181,NA,NA
"18",1,"REF-SVCu","upstream of REF-SVC @ Cleveland Nat. Forest Ranger Station",2182,NA,NA
"19",1,"LADDs","End of LADD Canyon Rd.",2183,NA,NA
"20",1,"SMC00105","Silverado Creek @ end of Silverado Canyon Rd.",2184,"33.746510999999998","-117.58423000000001"
"21",1,"SMC01155","Santiago Creek @ end of Black Star Canyon Rd.",2185,"33.760607","-117.67949400000001"
"22",1,"SMC26288","Santiago Creek u/s of Irvine Lake",2186,"33.774327999999997","-117.694534"
"23",1,"SMC00670","Fullerton Creek @ Commonwealth",2193,"33.869256999999998","-117.90916"
"24",1,"SMC06019","San Diego Creek u/s Wylsed monitoring station",2299,"33.682620999999997","-117.812363"
"25",1,"SMC21822","Santa Ana River - East of Gypsum Canyon rd.",2301,"33.872345000000003","-117.70876"
"26",1,"SMC24222","West of Gypsum Canyon Rd.",2302,"33.871510000000001","-117.717243"
"27",1,"SMC02270","Handy Cr. @ Chapman and Newport Ave.",2303,"33.795738999999998","-117.77241600000001"
"28",1,"SMC34888","Santigo Creek u/s Irvine Lake",2304,"33.773868999999998","-117.68432"
"29",1,"SMC06467","Freemont Canyon ~300m u/s road crossing",2305,"33.791189000000003","-117.717822"
"30",1,"SMC02563","Borrego Wash @ Alton and Portola",2306,"33.681933999999998","-117.672937"
"31",1,"SGLR-01726","Borrego Wash @ Alton and Portola",2355,NA,NA
"32",1,"SGLR-01694","Borrego Wash @ Alton and Portola",2356,NA,NA
"33",1,"SGLR-00926","Borrego Wash @ Alton and Portola",2357,NA,NA
"34",1,"SMC00766","Sand Canyon Wash @ Mason Park",3068,"33.657186000000003","-117.83739199999999"
"35",1,"SMC00899","Peters Canyon Wash u/s I-5 Frwy",3069,"33.717471000000003","-117.788803"
"36",1,"SMC01923","San Diego Creek d/s Jeffrey Rd.",3070,"33.672215999999999","-117.788723"
"37",1,"SMC02206","Carbon Cyn Creek @ Chapman Ave",3071,"33.870989000000002","-117.850027"
"38",1,"SMC02947","Peters Cyn Wash u/s Warner Ave.",3072,"33.699191999999996","-117.811432"
"39",1,"SMC03971","San Juaquin Channel @ Main St.",3073,"33.675511","-117.827752"
"40",1,"SGLR00702","Brea Creek @ Rostrata Ave",3074,NA,NA
"41",1,"SGLR00958","Carbon Creek @ Orange Ave",3075,NA,NA
"42",1,"SMC05379","Peters Canyon Wash u/s Irvine Blvd. ",4215,"33.727772000000002","-117.779134"
"43",1,"SMC08414","Santigo Creek D/s Hewes resevior",4216,"33.796298","-117.81995499999999"
"44",1,"SMC08094","Collins Channel d/s Glassell Rd.",4217,"33.819516999999998","-117.853601"
"45",1,"SMC06302","Carbon Canyon Creek u/s Crowther Ave",4218,"33.866990000000001","-117.853662"
